web-scraper-order,web-scraper-start-url,gen_inf,gen_inf-href,nom,prix,adresse,image_lien-src
"1739963398-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquet perruches ondulées","20 000 CFA","location_on
              Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1739963401-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-japonaise-aquarium-827220","","","",""
"1739963403-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","Perruches","Prix sur demande","location_on
              Sénégal","https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png"
"1739963407-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425","","","",""
"1739963410-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/buf-885779","","","",""
"1739963415-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895","Chèvre Balami","200 000 CFA","location_on
              Saint Louis, Sénégal","https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png"
"1739963419-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881","Verrat de race Large white","200 000 CFA","location_on
              Sénégal","https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png"
"1739963422-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Caille","1 500 CFA","location_on
              Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5001807_uploaded_image1_1729346954.jpg"
"1739963424-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474","Oies  bourbonaises","50 000 CFA","location_on
              Thies, Sénégal","https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png"
"1739963428-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139","Mouton ladoum pure sang","Prix sur demande","location_on
              Sénégal","https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png"
"1739963431-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","location_on
              Dakar, Sénégal","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png"
"1739963435-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114","","","",""
"1739963438-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","location_on
              Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png"
"1739963442-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","Oies toulouse","Prix sur demande","location_on
              Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1739963445-15","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739","Oies toulouse","Prix sur demande","location_on
              Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
